11,defoe-robinson-103.txt	3.0,0.9030899869919435
11th,defoe-robinson-103.txt	2.0,0.6020599913279624
13,defoe-robinson-103.txt	2.0,0.6020599913279624
15,defoe-robinson-103.txt	4.0,1.2041199826559248
150,defoe-robinson-103.txt	2.0,0.6020599913279624
15th,defoe-robinson-103.txt	3.0,0.9030899869919435
1632,defoe-robinson-103.txt	1.0,0.3010299956639812
1687,defoe-robinson-103.txt	1.0,0.3010299956639812
1694,defoe-robinson-103.txt	1.0,0.3010299956639812
17,defoe-robinson-103.txt	4.0,1.2041199826559248
1719,defoe-robinson-103.txt	1.0,0.3010299956639812
174,defoe-robinson-103.txt	1.0,0.3010299956639812
19,defoe-robinson-103.txt	1.0,0.3010299956639812
19th,defoe-robinson-103.txt	3.0,0.9030899869919435
1st,defoe-robinson-103.txt	1.0,0.3010299956639812
2,defoe-robinson-103.txt	10.0,3.010299956639812
20,defoe-robinson-103.txt	5.0,1.505149978319906
200,defoe-robinson-103.txt	2.0,0.6020599913279624
20th,defoe-robinson-103.txt	1.0,0.3010299956639812
21st,defoe-robinson-103.txt	1.0,0.3010299956639812
22,defoe-robinson-103.txt	5.0,1.505149978319906
220,defoe-robinson-103.txt	1.0,0.3010299956639812
24,defoe-robinson-103.txt	3.0,0.9030899869919435
240,defoe-robinson-103.txt	1.0,0.3010299956639812
24th,defoe-robinson-103.txt	1.0,0.3010299956639812
26,defoe-robinson-103.txt	3.0,0.9030899869919435
26th,defoe-robinson-103.txt	3.0,0.9030899869919435
28,defoe-robinson-103.txt	3.0,0.9030899869919435
33,defoe-robinson-103.txt	1.0,0.3010299956639812
372,defoe-robinson-103.txt	1.0,0.3010299956639812
4,defoe-robinson-103.txt	7.0,2.1072099696478683
4th,defoe-robinson-103.txt	1.0,0.3010299956639812
6,defoe-robinson-103.txt	2.0,0.6020599913279624
60,defoe-robinson-103.txt	1.0,0.3010299956639812
6quity,defoe-robinson-103.txt	1.0,0.3010299956639812
6th,defoe-robinson-103.txt	1.0,0.3010299956639812
8,defoe-robinson-103.txt	1.0,0.3010299956639812
800,defoe-robinson-103.txt	2.0,0.6020599913279624
8th,defoe-robinson-103.txt	1.0,0.3010299956639812
aback,callwild	3.0966465E-5,9.321834731970088E-6
abandoned,defoe-robinson-103.txt	4.0,1.2041199826559248
abating,defoe-robinson-103.txt	1.0,0.3010299956639812
abed,defoe-robinson-103.txt	1.0,0.3010299956639812
abhor,defoe-robinson-103.txt	1.0,0.3010299956639812
abiding,callwild	3.0966465E-5,9.321834731970088E-6
ability,callwild	6.193293E-5,1.8643669463940177E-5
abjectly,callwild	3.0966465E-5,9.321834731970088E-6
able,defoe-robinson-103.txt	54.0,0.0
able,callwild	6.193293E-5,0.0
abominable,defoe-robinson-103.txt	2.0,0.6020599913279624
abortive,defoe-robinson-103.txt	1.0,0.3010299956639812
