11,"defoe-robinson-103.txt	3.0",0.903089987
myself,"defoe-robinson-103.txt	292.0",87.90075873
thoughts,"defoe-robinson-103.txt	111.0",33.41432952
board,"defoe-robinson-103.txt	71.0",21.37312969
towards,"defoe-robinson-103.txt	67.0",20.16900971
corn,"defoe-robinson-103.txt	62.0",18.66385973
labor,"defoe-robinson-103.txt	52.0",15.65355977
believe,"defoe-robinson-103.txt	47.0",14.1484098
deliverance,"defoe-robinson-103.txt	46.0",13.8473798
coast,"defoe-robinson-103.txt	42.0",12.64325982
shall,"defoe-robinson-103.txt	40.0",12.04119983
purpose,"defoe-robinson-103.txt	34.0",10.23501985
fired,"defoe-robinson-103.txt	33.0",9.933989857
round,"defoe-robinson-103.txt	33.0",9.933989857
wreck,"defoe-robinson-103.txt	33.0",9.933989857
length,"defoe-robinson-103.txt	32.0",9.632959861
perfectly,"defoe-robinson-103.txt	32.0",9.632959861
xury,"defoe-robinson-103.txt	32.0",9.632959861
goats,"defoe-robinson-103.txt	31.0",9.331929866
plantation,"defoe-robinson-103.txt	31.0",9.331929866
am,"defoe-robinson-103.txt	30.0",9.03089987
delivered,"defoe-robinson-103.txt	30.0",9.03089987
canoe,"defoe-robinson-103.txt	29.0",8.729869874
circumstances,"defoe-robinson-103.txt	28.0",8.428839879
design,"defoe-robinson-103.txt	27.0",8.127809883
entirely,"defoe-robinson-103.txt	27.0",8.127809883
guide,"defoe-robinson-103.txt	27.0",8.127809883
sand,"defoe-robinson-103.txt	27.0",8.127809883
cargo,"defoe-robinson-103.txt	26.0",7.826779887
obliged,"defoe-robinson-103.txt	26.0",7.826779887
castle,"defoe-robinson-103.txt	25.0",7.525749892
thither,"defoe-robinson-103.txt	25.0",7.525749892
whence,"defoe-robinson-103.txt	25.0",7.525749892
comfort,"defoe-robinson-103.txt	24.0",7.224719896
spaniard,"defoe-robinson-103.txt	24.0",7.224719896
spirits,"defoe-robinson-103.txt	23.0",6.9236899
observe,"defoe-robinson-103.txt	22.0",6.622659905
stock,"defoe-robinson-103.txt	22.0",6.622659905
governor,"defoe-robinson-103.txt	21.0",6.321629909
happy,"defoe-robinson-103.txt	21.0",6.321629909
provisions,"defoe-robinson-103.txt	21.0",6.321629909
send,"defoe-robinson-103.txt	21.0",6.321629909
grapes,"defoe-robinson-103.txt	20.0",6.020599913
ladder,"defoe-robinson-103.txt	20.0",6.020599913
thou,"defoe-robinson-103.txt	20.0",6.020599913
pray,"defoe-robinson-103.txt	19.0",5.719569918
rum,"defoe-robinson-103.txt	19.0",5.719569918
bade,"defoe-robinson-103.txt	18.0",5.418539922
degree,"defoe-robinson-103.txt	18.0",5.418539922
month,"defoe-robinson-103.txt	18.0",5.418539922
november,"defoe-robinson-103.txt	18.0",5.418539922
friend,"defoe-robinson-103.txt	17.0",5.117509926
fright,"defoe-robinson-103.txt	17.0",5.117509926
june,"defoe-robinson-103.txt	17.0",5.117509926
kid,"defoe-robinson-103.txt	17.0",5.117509926
table,"defoe-robinson-103.txt	17.0",5.117509926
crop,"defoe-robinson-103.txt	16.0",4.816479931
directed,"defoe-robinson-103.txt	16.0",4.816479931
moidores,"defoe-robinson-103.txt	16.0",4.816479931
muskets,"defoe-robinson-103.txt	16.0",4.816479931
vessel,"defoe-robinson-103.txt	16.0",4.816479931
exceeding,"defoe-robinson-103.txt	15.0",4.515449935
fowling,"defoe-robinson-103.txt	15.0",4.515449935
leagues,"defoe-robinson-103.txt	15.0",4.515449935
observation,"defoe-robinson-103.txt	15.0",4.515449935
otherwise,"defoe-robinson-103.txt	15.0",4.515449935
reflections,"defoe-robinson-103.txt	15.0",4.515449935
unless,"defoe-robinson-103.txt	15.0",4.515449935
effects,"defoe-robinson-103.txt	14.0",4.214419939
enemies,"defoe-robinson-103.txt	14.0",4.214419939
fetch,"defoe-robinson-103.txt	14.0",4.214419939
glass,"defoe-robinson-103.txt	14.0",4.214419939
inclination,"defoe-robinson-103.txt	14.0",4.214419939
laying,"defoe-robinson-103.txt	14.0",4.214419939
pleasant,"defoe-robinson-103.txt	14.0",4.214419939
posture,"defoe-robinson-103.txt	14.0",4.214419939
spanish,"defoe-robinson-103.txt	14.0",4.214419939
stayed,"defoe-robinson-103.txt	14.0",4.214419939
thankfulness,"defoe-robinson-103.txt	14.0",4.214419939
useful,"defoe-robinson-103.txt	14.0",4.214419939
amazed,"defoe-robinson-103.txt	13.0",3.913389944
basket,"defoe-robinson-103.txt	13.0",3.913389944
contrary,"defoe-robinson-103.txt	13.0",3.913389944
durst,"defoe-robinson-103.txt	13.0",3.913389944
enclosure,"defoe-robinson-103.txt	13.0",3.913389944
happen,"defoe-robinson-103.txt	13.0",3.913389944
islands,"defoe-robinson-103.txt	13.0",3.913389944
ourselves,"defoe-robinson-103.txt	13.0",3.913389944
pistols,"defoe-robinson-103.txt	13.0",3.913389944
planted,"defoe-robinson-103.txt	13.0",3.913389944
preserve,"defoe-robinson-103.txt	13.0",3.913389944
prospect,"defoe-robinson-103.txt	13.0",3.913389944
sugar,"defoe-robinson-103.txt	13.0",3.913389944
